0,31
1,6
2,31
3,31
4,31
5,31
6,31
7,31
8,0
9,31
10,41
11,41
12,28
13,17
14,0
15,22
16,41
17,17
18,28
19,22
20,22
21,28
22,15
23,28
24,18
25,41
26,6
27,23
28,15
29,0
30,28
31,28
32,31
33,27
34,31
35,22
36,9
37,25
38,9
39,27
40,15
41,23
42,23
43,22
44,41
45,23
46,22
47,18
48,15
49,1
50,4
51,9
52,9
53,7
54,18
55,41
56,17
57,15
58,28
59,23
60,28
61,0
62,1
63,1
64,18
65,28
66,18
67,28
68,27
69,15
70,22
71,0
72,4
73,22
74,1
75,1
76,15
77,9
78,15
79,15
80,17
81,31
82,18
83,15
84,15
85,14
86,18
87,23
88,23
89,23
90,9
91,23
92,25
93,9
94,7
95,3
96,9
97,15
98,28
99,9
100,31
101,22
102,3
103,22
104,4
105,6
106,10
107,10
108,18
109,31
110,31
111,14
112,10
113,31
114,20
115,27
116,27
117,9
118,1
119,26
120,20
121,26
122,15
123,10
124,9
125,20
126,25
127,25
128,1
129,10
130,1
131,0
132,20
133,20
134,15
135,26
136,1
137,25
138,25
139,10
140,20
141,25
142,18
143,41
144,10
145,15
146,10
147,10
148,10
149,17
150,15
151,41
152,15
153,10
154,83
155,18
156,10
157,0
158,41
159,14
160,7
161,10
162,15
163,10
164,7
165,20
166,1
167,23
168,26
169,25
170,25
171,25
172,25
173,26
174,26
175,25
176,0
177,27
178,15
179,26
180,9
181,6
182,9
183,27
184,22
185,0
186,0
187,7
188,9
189,9
190,18
191,22
192,0
193,23
194,18
195,18
196,22
197,22
198,23
199,9
200,23
201,9
202,6
203,9
204,9
205,9
206,9
207,10
208,15
209,35
210,9
211,17
212,7
213,1
214,33
215,7
216,0
217,17
218,4
219,0
220,17
221,25
222,3
223,7
224,22
225,17
226,23
227,0
228,0
229,22
230,9
231,9
232,17
233,6
234,1
235,24
236,20
237,2
238,33
239,2
240,2
241,2
242,35
243,24
244,3
245,3
246,26
247,3
248,7
249,2
250,0
251,4
252,35
253,35
254,33
255,4
256,33
257,33
258,35
259,0
260,35
261,20
262,17
263,4
264,2
265,33
266,9
267,9
268,0
269,0
270,0
271,10
272,9
273,24
274,1
275,0
276,33
277,9
278,20
279,41
280,33
281,33
282,33
283,4
284,1
285,3
286,3
287,3
288,25
289,7
290,7
291,26
292,3
293,3
294,3
295,0
296,7
297,26
298,26
299,26
300,18
301,9
302,10
303,28
304,35
305,35
306,33
307,24
308,18
309,9
310,35
311,18
312,35
313,24
314,35
315,26
316,7
317,35
318,17
319,17
320,4
321,33
322,1
323,4
324,1
325,0
326,2
327,17
328,24
329,33
330,15
331,1
332,2
333,4
334,33
335,1
336,17
337,17
338,17
339,17
340,4
341,17
342,33
343,17
344,41
345,17
346,2
347,4
348,17
349,4
350,33
351,33
352,4
353,17
354,17
355,1
356,33
357,17
358,33
359,4
360,17
361,4
362,17
363,17
364,17
365,17
366,17
367,11
368,35
369,0
370,0
371,35
372,35
373,17
374,11
375,17
376,11
377,11
378,11
379,11
380,0
381,25
382,35
383,11
384,11
385,17
386,0
387,11
388,11
389,35
390,17
391,11
392,20
393,10
394,24
395,35
396,0
397,24
398,11
399,24
400,0
401,35
402,20
403,24
404,24
405,24
406,11
407,6
408,28
409,13
410,13
411,27
412,13
413,27
414,14
415,6
416,6
417,13
418,13
419,13
420,13
421,6
422,13
423,13
424,6
425,6
426,13
427,6
428,13
